city,terrain,rider,traffic sign,license plate,road,sidewalk,vegetation,out of roi,building,pole,static,sky,person,bicycle,ego vehicle,car,cargroup,ground,wall,dynamic,fence,traffic light,motorcycle,bicyclegroup,persongroup,parking,bus,bridge,trailer,polegroup,tunnel,caravan,truck,guard rail,rectification border,rail track,train,motorcyclegroup,ridergroup,truckgroup
aachen,,,13.0,1.0,1.0,2.0,3.0,1,1.0,17.0,11.0,1.0,14.0,12.0,1,4.0,,,,,,,7.0,,,2.0,,,,,,,,,,,,,,
aachen,,1.0,2.0,,3.0,2.0,2.0,1,1.0,9.0,9.0,,27.0,1.0,1,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
aachen,,,,4.0,1.0,2.0,3.0,1,1.0,2.0,6.0,1.0,3.0,,1,11.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,2.0,1.0,11.0,9.0,2.0,3.0,7.0,1,2.0,22.0,20.0,1.0,11.0,2.0,1,17.0,1.0,1.0,,2.0,,16.0,,,2.0,,,,,,,,,,,,,,,
aachen,4.0,,8.0,,2.0,2.0,5.0,1,2.0,28.0,8.0,1.0,7.0,1.0,1,,,2.0,,,,,,,,,,,,,,,,,,,,,,
aachen,,,9.0,1.0,1.0,3.0,7.0,1,2.0,11.0,15.0,1.0,7.0,,1,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
aachen,,1.0,,3.0,2.0,4.0,9.0,1,2.0,7.0,21.0,1.0,9.0,2.0,1,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
aachen,,,3.0,3.0,3.0,2.0,8.0,1,3.0,6.0,6.0,1.0,,,1,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
aachen,,,5.0,,1.0,4.0,2.0,1,1.0,22.0,23.0,1.0,8.0,1.0,1,1.0,,1.0,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,,
aachen,,,4.0,,1.0,3.0,1.0,1,1.0,14.0,7.0,,9.0,2.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,,,12.0,6.0,2.0,4.0,5.0,1,1.0,21.0,15.0,1.0,6.0,1.0,1,20.0,2.0,1.0,,1.0,,7.0,,,,1.0,,,,,,,,,,,,,,
aachen,,,7.0,1.0,1.0,2.0,3.0,1,1.0,2.0,5.0,,12.0,,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,,,8.0,,1.0,1.0,4.0,1,3.0,14.0,13.0,1.0,16.0,2.0,1,3.0,,1.0,,,,10.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
aachen,,,15.0,8.0,1.0,2.0,1.0,1,1.0,30.0,2.0,1.0,6.0,1.0,1,19.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
aachen,,,6.0,4.0,1.0,4.0,1.0,1,1.0,6.0,8.0,1.0,8.0,2.0,1,3.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
aachen,1.0,,12.0,3.0,1.0,2.0,2.0,1,1.0,31.0,15.0,1.0,,,1,14.0,1.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,7.0,2.0,1.0,3.0,2.0,1,1.0,9.0,13.0,,4.0,3.0,1,2.0,,,,,,9.0,,,1.0,,,,,,,,,,,,,,,
aachen,2.0,,9.0,2.0,1.0,2.0,3.0,1,4.0,13.0,16.0,1.0,13.0,1.0,1,7.0,,,,1.0,,2.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,
aachen,1.0,,4.0,2.0,1.0,3.0,5.0,1,1.0,8.0,13.0,1.0,20.0,2.0,1,14.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
aachen,,,8.0,4.0,1.0,2.0,2.0,1,1.0,13.0,12.0,1.0,16.0,3.0,1,6.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,
aachen,,,5.0,,1.0,1.0,2.0,1,1.0,7.0,22.0,,30.0,1.0,1,,,,,6.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,
aachen,4.0,,9.0,5.0,1.0,2.0,7.0,1,1.0,11.0,10.0,1.0,8.0,1.0,1,13.0,1.0,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
aachen,,,13.0,2.0,1.0,3.0,3.0,1,1.0,16.0,14.0,1.0,26.0,2.0,1,4.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
aachen,,,8.0,1.0,1.0,1.0,1.0,1,1.0,9.0,6.0,1.0,2.0,,1,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
aachen,,,1.0,3.0,1.0,3.0,1.0,1,1.0,6.0,6.0,,9.0,1.0,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,2.0,,,2.0,1.0,2.0,3.0,1,1.0,2.0,2.0,,7.0,1.0,1,3.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
aachen,1.0,,7.0,5.0,1.0,4.0,2.0,1,1.0,25.0,20.0,1.0,6.0,2.0,1,9.0,2.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,,
aachen,,,3.0,2.0,1.0,1.0,2.0,1,1.0,2.0,3.0,,20.0,,1,4.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
aachen,2.0,,11.0,2.0,1.0,2.0,3.0,1,2.0,16.0,27.0,1.0,27.0,6.0,1,4.0,1.0,1.0,1.0,2.0,,11.0,,,,,2.0,,,,,,,,,,,,,
aachen,3.0,,8.0,,2.0,2.0,4.0,1,2.0,14.0,25.0,1.0,37.0,,1,1.0,,1.0,1.0,4.0,,3.0,,,1.0,,1.0,,,,,,,,,,,,,
aachen,5.0,1.0,7.0,3.0,1.0,2.0,4.0,1,1.0,20.0,14.0,1.0,4.0,2.0,1,19.0,,,,,,10.0,,,,1.0,,1.0,,,,,,,,,,,,
aachen,,,11.0,7.0,1.0,2.0,9.0,1,2.0,21.0,8.0,1.0,6.0,,1,22.0,2.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,6.0,1.0,1.0,2.0,8.0,1,5.0,12.0,16.0,1.0,3.0,1.0,1,7.0,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,
aachen,2.0,,4.0,5.0,1.0,3.0,3.0,1,1.0,12.0,4.0,1.0,1.0,,1,19.0,,,,,,6.0,,,,1.0,,,,1.0,,,,,,,,,,
aachen,,,1.0,5.0,1.0,1.0,1.0,1,1.0,6.0,4.0,1.0,1.0,,1,21.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,2.0,,6.0,4.0,1.0,2.0,7.0,1,1.0,13.0,5.0,1.0,,1.0,1,33.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
aachen,,,6.0,2.0,1.0,2.0,1.0,1,2.0,10.0,6.0,1.0,1.0,,1,11.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,
aachen,3.0,,6.0,3.0,1.0,2.0,2.0,1,1.0,24.0,11.0,2.0,1.0,1.0,1,11.0,,,,,,5.0,1.0,,,1.0,,,,,,,,,,,,,,
aachen,1.0,,10.0,5.0,2.0,4.0,4.0,1,2.0,15.0,11.0,1.0,8.0,,1,9.0,1.0,,1.0,1.0,,11.0,,,,,,,,,,,1.0,,,,,,,
aachen,1.0,,5.0,9.0,1.0,3.0,12.0,1,1.0,22.0,10.0,1.0,8.0,,1,25.0,3.0,,,1.0,,13.0,,,,,1.0,,,,,,,,,,,,,
aachen,3.0,,7.0,3.0,1.0,4.0,3.0,1,1.0,17.0,10.0,,3.0,1.0,1,17.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,
aachen,3.0,,1.0,6.0,1.0,1.0,4.0,1,1.0,6.0,2.0,1.0,,,1,31.0,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,
aachen,4.0,2.0,9.0,4.0,2.0,2.0,1.0,1,3.0,14.0,11.0,1.0,13.0,1.0,1,24.0,4.0,1.0,,,,5.0,1.0,,,1.0,,,,,,,,,,,,,,
aachen,6.0,,17.0,6.0,1.0,4.0,3.0,1,2.0,49.0,11.0,1.0,1.0,,1,17.0,,,,,,16.0,,,,,1.0,,,1.0,,,,,,,,,,
aachen,4.0,2.0,22.0,6.0,1.0,2.0,4.0,1,2.0,30.0,8.0,1.0,2.0,3.0,1,8.0,1.0,,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,
aachen,,,3.0,1.0,1.0,,4.0,1,1.0,1.0,4.0,2.0,1.0,,1,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
aachen,,,1.0,2.0,1.0,1.0,3.0,1,1.0,2.0,3.0,1.0,2.0,1.0,1,11.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
aachen,2.0,2.0,1.0,3.0,1.0,,2.0,1,1.0,4.0,8.0,1.0,1.0,2.0,1,24.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
aachen,2.0,,,3.0,1.0,2.0,4.0,1,1.0,2.0,8.0,1.0,2.0,1.0,1,25.0,2.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
aachen,1.0,2.0,8.0,4.0,1.0,1.0,3.0,1,1.0,24.0,10.0,1.0,5.0,3.0,1,8.0,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,
aachen,1.0,2.0,6.0,1.0,1.0,4.0,2.0,1,1.0,7.0,6.0,,1.0,3.0,1,6.0,,,,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,
aachen,3.0,1.0,17.0,5.0,1.0,3.0,9.0,1,2.0,33.0,11.0,1.0,5.0,1.0,1,17.0,1.0,,,,,11.0,,,,1.0,,,,,,,,,,,,,,
aachen,1.0,2.0,11.0,3.0,1.0,3.0,4.0,1,1.0,14.0,11.0,1.0,1.0,2.0,1,8.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,4.0,3.0,1.0,4.0,6.0,1,3.0,18.0,9.0,1.0,3.0,4.0,1,17.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
aachen,1.0,,8.0,1.0,1.0,2.0,4.0,1,2.0,12.0,14.0,1.0,3.0,,1,12.0,,,1.0,,1.0,7.0,,,,,,,,,,,,,,,,,,
aachen,8.0,,6.0,1.0,1.0,2.0,13.0,1,2.0,22.0,24.0,1.0,4.0,4.0,1,7.0,,2.0,4.0,,2.0,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,
aachen,2.0,1.0,5.0,4.0,1.0,2.0,6.0,1,1.0,12.0,14.0,1.0,2.0,2.0,1,26.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,
aachen,2.0,,2.0,3.0,1.0,1.0,2.0,1,1.0,16.0,19.0,1.0,1.0,9.0,1,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
aachen,3.0,,2.0,4.0,1.0,2.0,6.0,1,2.0,4.0,3.0,1.0,3.0,,1,33.0,,,,,,,,,,3.0,,,,,,,,,,,,,,
